"","SampleID","Condition","Sex","bamReads","Peaks"
"1","NOSEA_REP1.mLb.clN","NOSEA","F","../female_sea/NOSEA_REP1.mLb.clN.sorted.bam","../female_sea/NOSEA_REP1.mLb.clN_peaks.broadPeak"
"2","NOSEA_REP2.mLb.clN","NOSEA","F","../female_sea/NOSEA_REP2.mLb.clN.sorted.bam","../female_sea/NOSEA_REP2.mLb.clN_peaks.broadPeak"
"3","NOSEA_REP3.mLb.clN","NOSEA","F","../female_sea/NOSEA_REP3.mLb.clN.sorted.bam","../female_sea/NOSEA_REP3.mLb.clN_peaks.broadPeak"
"4","SEA_REP1.mLb.clN","SEA","F","../female_sea/SEA_REP1.mLb.clN.sorted.bam","../female_sea/SEA_REP1.mLb.clN_peaks.broadPeak"
"5","SEA_REP2.mLb.clN","SEA","F","../female_sea/SEA_REP2.mLb.clN.sorted.bam","../female_sea/SEA_REP2.mLb.clN_peaks.broadPeak"
"6","SEA_REP3.mLb.clN","SEA","F","../female_sea/SEA_REP3.mLb.clN.sorted.bam","../female_sea/SEA_REP3.mLb.clN_peaks.broadPeak"
"7","I_REP1.mLb.clN","IF","M","../male_inf/I_REP1.mLb.clN.sorted.bam","../male_inf/I_REP1.mLb.clN_peaks.broadPeak"
"8","I_REP2.mLb.clN","IF","M","../male_inf/I_REP2.mLb.clN.sorted.bam","../male_inf/I_REP2.mLb.clN_peaks.broadPeak"
"9","I_REP3.mLb.clN","IF","M","../male_inf/I_REP3.mLb.clN.sorted.bam","../male_inf/I_REP3.mLb.clN_peaks.broadPeak"
"10","U_REP1.mLb.clN","UF","M","../male_inf/U_REP1.mLb.clN.sorted.bam","../male_inf/U_REP1.mLb.clN_peaks.broadPeak"
"11","UM_REP1.mLb.clN","UF","M","../male_inf/UM_REP1.mLb.clN.sorted.bam","../male_inf/UM_REP1.mLb.clN_peaks.broadPeak"
"12","UM_REP2.mLb.clN","UF","M","../male_inf/UM_REP2.mLb.clN.sorted.bam","../male_inf/UM_REP2.mLb.clN_peaks.broadPeak"
"13","IF_REP1.mLb.clN","IF","F","../female_inf/IF_REP1.mLb.clN.sorted.bam","../female_inf/IF_REP1.mLb.clN_peaks.broadPeak"
"14","IF_REP2.mLb.clN","IF","F","../female_inf/IF_REP2.mLb.clN.sorted.bam","../female_inf/IF_REP2.mLb.clN_peaks.broadPeak"
"15","IF_REP3.mLb.clN","IF","F","../female_inf/IF_REP3.mLb.clN.sorted.bam","../female_inf/IF_REP3.mLb.clN_peaks.broadPeak"
"16","UF_REP1.mLb.clN","UF","F","../female_inf/UF_REP1.mLb.clN.sorted.bam","../female_inf/UF_REP1.mLb.clN_peaks.broadPeak"
"17","UF_REP2.mLb.clN","UF","F","../female_inf/UF_REP2.mLb.clN.sorted.bam","../female_inf/UF_REP2.mLb.clN_peaks.broadPeak"
"18","UF_REP3.mLb.clN","UF","F","../female_inf/UF_REP3.mLb.clN.sorted.bam","../female_inf/UF_REP3.mLb.clN_peaks.broadPeak"
"19","UF_REP4.mLb.clN","UF","F","../female_inf/UF_REP4.mLb.clN.sorted.bam","../female_inf/UF_REP4.mLb.clN_peaks.broadPeak"
