"SampleID","Condition","bamReads","Peaks","PeakCaller","Tissue","Factor","Treatment","Replicate","condition","sex","sizeFactor","sample"
"I_REP1.mLb.clN","IF","../male_inf/I_REP1.mLb.clN.sorted.bam","../male_inf/I_REP1.mLb.clN_peaks.broadPeak","bed","","","","","IF","M",1.50893781429441,"I_REP1.mLb.clN"
"I_REP2.mLb.clN","IF","../male_inf/I_REP2.mLb.clN.sorted.bam","../male_inf/I_REP2.mLb.clN_peaks.broadPeak","bed","","","","","IF","M",1.54864712204659,"I_REP2.mLb.clN"
"I_REP3.mLb.clN","IF","../male_inf/I_REP3.mLb.clN.sorted.bam","../male_inf/I_REP3.mLb.clN_peaks.broadPeak","bed","","","","","IF","M",1.39420673127446,"I_REP3.mLb.clN"
"U_REP1.mLb.clN","UF","../male_inf/U_REP1.mLb.clN.sorted.bam","../male_inf/U_REP1.mLb.clN_peaks.broadPeak","bed","","","","","UF","M",0.24215856511098,"U_REP1.mLb.clN"
"UM_REP1.mLb.clN","UF","../male_inf/UM_REP1.mLb.clN.sorted.bam","../male_inf/UM_REP1.mLb.clN_peaks.broadPeak","bed","","","","","UF","M",1.12079908200656,"UM_REP1.mLb.clN"
"UM_REP2.mLb.clN","UF","../male_inf/UM_REP2.mLb.clN.sorted.bam","../male_inf/UM_REP2.mLb.clN_peaks.broadPeak","bed","","","","","UF","M",1.01658037908827,"UM_REP2.mLb.clN"
"IF_REP1.mLb.clN","IF","../female_inf/IF_REP1.mLb.clN.sorted.bam","../female_inf/IF_REP1.mLb.clN_peaks.broadPeak","bed","","","","","IF","F",1.40573403985171,"IF_REP1.mLb.clN"
"IF_REP2.mLb.clN","IF","../female_inf/IF_REP2.mLb.clN.sorted.bam","../female_inf/IF_REP2.mLb.clN_peaks.broadPeak","bed","","","","","IF","F",1.32505932907094,"IF_REP2.mLb.clN"
"IF_REP3.mLb.clN","IF","../female_inf/IF_REP3.mLb.clN.sorted.bam","../female_inf/IF_REP3.mLb.clN_peaks.broadPeak","bed","","","","","IF","F",1.33163665115737,"IF_REP3.mLb.clN"
"UF_REP1.mLb.clN","UF","../female_inf/UF_REP1.mLb.clN.sorted.bam","../female_inf/UF_REP1.mLb.clN_peaks.broadPeak","bed","","","","","UF","F",0.936480534029166,"UF_REP1.mLb.clN"
"UF_REP2.mLb.clN","UF","../female_inf/UF_REP2.mLb.clN.sorted.bam","../female_inf/UF_REP2.mLb.clN_peaks.broadPeak","bed","","","","","UF","F",1.18997618275478,"UF_REP2.mLb.clN"
"UF_REP3.mLb.clN","UF","../female_inf/UF_REP3.mLb.clN.sorted.bam","../female_inf/UF_REP3.mLb.clN_peaks.broadPeak","bed","","","","","UF","F",0.741102585100537,"UF_REP3.mLb.clN"
"UF_REP4.mLb.clN","UF","../female_inf/UF_REP4.mLb.clN.sorted.bam","../female_inf/UF_REP4.mLb.clN_peaks.broadPeak","bed","","","","","UF","F",0.77943374225939,"UF_REP4.mLb.clN"
