"gene","group","mean","sd","n"
"Dio2","Fem_UF",520.034243122227,106.951938808668,4
"Dio2","Fem_IF",217.960335239227,63.3894573887987,5
"Dio2","Male_UF",221.301857151363,95.1930086378742,4
"Dio2","Male_IF",550.778303171997,179.13291149681,5
"Fabp4","Fem_UF",1903.43804130619,373.962457918865,4
"Fabp4","Fem_IF",1204.14253660098,341.941560361405,5
"Fabp4","Male_UF",930.057260863687,199.19830207639,4
"Fabp4","Male_IF",2108.60850103965,150.931070358157,5
"Hk3","Fem_UF",11665.6517986881,1005.44665139669,4
"Hk3","Fem_IF",8808.39799922303,1467.01036094915,5
"Hk3","Male_UF",7073.45116760271,1055.34473513052,4
"Hk3","Male_IF",9275.12301448824,925.32546166278,5
"Mgll","Fem_UF",550.289510741423,105.501591743967,4
"Mgll","Fem_IF",219.670959678153,91.2009315103158,5
"Mgll","Male_UF",186.020721025535,54.2410931678836,4
"Mgll","Male_IF",990.759797689804,202.438162718551,5
"Scin","Fem_UF",5.73437859912226,2.35430913214094,4
"Scin","Fem_IF",17.6090826324735,8.03456762126154,5
"Scin","Male_UF",18.9611110131912,13.3725991735578,4
"Scin","Male_IF",4.33087286457166,3.09934169053402,5
"Slc1a3","Fem_UF",1.23299083086493,1.2926182531199,4
"Slc1a3","Fem_IF",0.355819020613107,0.487252792314844,5
"Slc1a3","Male_UF",0.254661991885867,0.509323983771734,4
"Slc1a3","Male_IF",17.6520751810634,7.27199841073722,5
